Mean,Peak,Minimum,Variance,Peek_To_Peek,Label
-6.57857e-05,0.000256987,-0.000426857,3.1586531248642104e-08,0.0006838440000000001,0
-1.34117e-05,0.000286279,-0.000210499,1.1950743381168421e-08,0.000496778,0
3.82381e-05,0.000313959,-0.0001609,1.1659703566200002e-08,0.000474859,0
8.889965000000001e-05,0.000516867,-0.00026825,2.9535116937397364e-08,0.0007851169999999999,0
0.00013828385000000002,0.000777519,-0.000409576,6.408761956508159e-08,0.001187095,0
0.00018616099999999998,0.001027452,-0.000546883,1.1357150089894739e-07,0.001574335,0
0.00023229389999999996,0.001265777,-0.000679595,1.7604055803188422e-07,0.001945372,0
0.00027646535,0.001491729,-0.000807176,2.494044508561342e-07,0.002298905,0
0.00031846330000000005,0.001704653,-0.000929145,3.314890654800105e-07,0.002633798,0
0.0003581191,0.001904013,-0.001045062,4.2007003949883153e-07,0.002949075,0
0.00039526105,0.002089371,-0.001154541,5.1294594773805e-07,0.003243912,0
0.0004297414,0.002260393,-0.001257244,6.079702998597262e-07,0.0035176369999999997,0
0.00046143125,0.002416841,-0.001352881,7.030941748654605e-07,0.0037697219999999997,0
0.0004902202,0.002558558,-0.001441215,7.964021790971157e-07,0.003999773,0
0.0005160251500000001,0.002685484,-0.001522059,8.861421418129765e-07,0.004207543,0
0.0005387669000000001,0.00279764,-0.001595274,9.707674189456736e-07,0.004392914,0
0.0005584073,0.002895125,-0.001660775,1.0489263868779052e-06,0.0045559,0
0.00057490925,0.00297811,-0.001718517,1.1195095910677762e-06,0.004696627,0
0.0005882704499999999,0.003046849,-0.001768511,1.1816339939899448e-06,0.004815359999999999,0
0.00059849825,0.003101667,-0.001810811,1.2346712752052502e-06,0.004912478,0
0.0006056319999999999,0.003142957,-0.001845513,1.2782111538234738e-06,0.00498847,0
0.00060973075,0.003171183,-0.00187276,1.3120804803678815e-06,0.005043943,0
0.0006108638999999999,0.00318688,-0.001892739,1.3363332744458845e-06,0.0050796190000000005,0
0.00060912475,0.003190647,-0.001905669,1.3512175110897766e-06,0.005096316,0
0.0006046344500000001,0.00318315,-0.001911817,1.3571555181565763e-06,0.005094967,0
0.0005975297000000001,0.003165123,-0.001911477,1.354728146164642e-06,0.0050766000000000006,0
0.00058796175,0.003137351,-0.001904981,1.344643682068829e-06,0.005042332,0
0.0005760977,0.003100691,-0.001892697,1.327715790650326e-06,0.004993388,0
0.0005621329499999999,0.00305605,-0.001875008,1.3048130077185762e-06,0.004931058,0
0.00054626145,0.003004377,-0.001852335,1.2768588892909974e-06,0.004856712,0
0.0005286997499999999,0.002946667,-0.001825111,1.2447782789146185e-06,0.004771778,0
0.00050967155,0.002883961,-0.001793794,1.2094886406011023e-06,0.0046777550000000005,0
0.0004894126,0.002817321,-0.001758855,1.1718619923729894e-06,0.0045761759999999995,0
0.00046816090000000005,0.002747826,-0.001720777,1.1327184380998842e-06,0.004468603,0
0.00044616330000000007,0.002676575,-0.00168005,1.0928001805728528e-06,0.004356625,0
0.00042365760000000007,0.002604657,-0.001637164,1.0527683044048842e-06,0.004241821,0
