1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-0.000318594,-0.000113434,-0.000426857,3.32E-06,6.30E-05,1.39E-05,4.29E-05,-3.14E-05,-4.46E-05,-3.03E-05,0.00017348,-0.000225951,0.000256987,0.000158428,-0.000186727,-8.92E-05,-0.000150749,-0.000368317,-7.49E-05,3.33E-05
-3.24E-05,-0.000137064,-0.000176791,1.98E-05,6.09E-05,3.06E-05,6.52E-05,-9.70E-07,-1.88E-05,-1.27E-06,2.40E-05,-6.84E-05,0.000286279,9.08E-05,-0.000125319,-4.62E-05,-7.84E-05,-0.000210499,-2.44E-05,7.47E-05
0.000246505,-0.0001609,6.74E-05,3.63E-05,5.88E-05,4.73E-05,8.75E-05,2.93E-05,7.03E-06,2.76E-05,-0.00012352,8.83E-05,0.000313959,2.35E-05,-6.40E-05,-3.22E-06,-6.22E-06,-5.28E-05,2.59E-05,0.000116028
0.000516867,-0.000185037,0.00030432,5.27E-05,5.68E-05,6.40E-05,0.000109496,5.94E-05,3.26E-05,5.64E-05,-0.00026825,0.000243435,0.000339495,-4.29E-05,-3.09E-06,3.95E-05,6.55E-05,0.000103892,7.59E-05,0.000156965
0.000777519,-0.00020957,0.000532816,6.89E-05,5.49E-05,8.06E-05,0.000131191,8.90E-05,5.79E-05,8.48E-05,-0.000409576,0.000396089,0.000362398,-0.000108062,5.71E-05,8.20E-05,0.000136239,0.000258864,0.000125217,0.000197352
0.001027452,-0.000234603,0.000751787,8.49E-05,5.32E-05,9.71E-05,0.000152434,0.000118156,8.27E-05,0.000112808,-0.000546883,0.00054548,0.000382223,-0.00017155,0.0001164,0.000124005,0.000205766,0.000411293,0.000173567,0.000236985
0.001265777,-0.000260231,0.000960272,0.000100682,5.17E-05,0.000113445,0.000173111,0.000146629,0.000107033,0.000140324,-0.000679595,0.000690826,0.000398573,-0.000232948,0.000174398,0.000165433,0.000273673,0.000560408,0.000220712,0.000275656
0.001491729,-0.000286548,0.001157439,0.000116126,5.05E-05,0.000129662,0.00019311,0.000174312,0.000130676,0.000167233,-0.000807176,0.000831378,0.000411096,-0.000291874,0.000230857,0.000206164,0.000339607,0.000705453,0.00026639,0.000313173
0.001704653,-0.000313653,0.001342569,0.000131197,4.94E-05,0.000145694,0.000212323,0.000201075,0.000153559,0.000193431,-0.000929145,0.000966418,0.000419493,-0.000347968,0.000285512,0.00024607,0.00040323,0.000845702,0.000310358,0.000349348
0.001904013,-0.000341627,0.001515056,0.00014585,4.87E-05,0.000161514,0.000230647,0.000226798,0.000175579,0.000218822,-0.001045062,0.001095283,0.000423509,-0.000400897,0.000338108,0.000285033,0.00046422,0.000980464,0.000352375,0.000383997
